test_image,filesize,name,MSE,Difference
orig1p1.png,578kb,marmot,95.38718541,-2.999348958
orig1p2.png,566kb,deer,93.04643377,0.356119792
orig1p3.png,559kb,carpet,90.69022497,-9.600260417
orig1p4.png,627kb,forest,102.4698143,13.39127604
orig1p5.png,512kb,cow,85.22653198,-0.990885417
orig1p6.png,582kb,farmer,95.23938624,0.055989583
orig1p7.png,575kb,wall,86.82598495,-9.451822917
orig1p8.png,589kb,dome,103.4136175,10.4921875
orig1p9.png,552kb,leaves,100.6821912,-28.828125
orig1p10.png,621kb,handprint,94.54073207,3.447265625
orig2p1.png,325kb,cucumber,81.62276204,-3.024088542
orig2p2.png,418kb,oranges,94.86389669,-8.560546875
orig2p3.png,354kb,panda,55.44127528,0.054036458
orig2p4.png,346kb,screw,30.32361221,-0.24609375
orig2p5.png,313kb,fishes,54.83141581,-2.008463542
orig2p6.png,345kb,man,75.20714951,0.278645833
orig2p7.png,350kn,woman,77.17710368,-2.793619792
orig2p8.png,331kb,architecture,96.41148504,1.456380208
orig2p9.png,300kb,church,98.7107137,0.080078125
orig2p10.png,333kb,winebottle,65.55763626,0.335286458
orig3p1.png,133kb,duck,80.29910024,1.759114583
orig3p2.png,78.6kb,apple,26.98516719,0.328125
orig3p3.png,96.9kb,moon,54.96157328,-9.3984375
orig3p4.png,142kb,chair,106.6231956,13.19205729
orig3p5.png,187kb,c_letter,86.89760844,-17.14388021
orig3p6.png,65.2kb,plane,112.7365824,15.06119792
orig3p7.png,81.7kb,nut,119.71153,26.40299479
orig3p8.png,149kb,egg,53.05847804,2.699869792
orig3p9.png,51.5kb,treeinwhite,50.42520269,4.66796875
orig3p10.png,83.7kb,wire,19.80057653,-0.190755208
